Название услуги,Цена,Код услуги,Длительность,Категория,Рекомендации после приёма,Код по приказу №804н,Ставка НДС
"Антитела к микоплазме (Mycoplasma hominis), IgА",720.00,11.16.A1.201,3 дн,🦠 Серология,,A26.06.057.004,
"Антитела к микоплазме (Mycoplasma hominis), IgG",720.00,11.16.A3.201,3 дн,🦠 Серология,,A26.06.057.005,
"Антитела к микоплазме (Mycoplasma pneumoniae), IgА",710.00,11.16.A4.201,3 дн,🦠 Серология,,A26.06.057.002,
"Антитела к микоплазме (Mycoplasma pneumoniae), IgG ",700.00,11.16.A5.201,3 дн,🦠 Серология,,A26.06.057.003,
"Антитела к микоплазме (Mycoplasma pneumoniae), IgM ",700.00,11.16.A6.201,3 дн,🦠 Серология,,A26.06.057.001,
"Антитела к уреаплазме (Ureaplasma urealyticum), IgА",750.00,11.17.A1.201,3 дн,🦠 Серология,,A26.20.005.001,
"Антитела к уреаплазме (Ureaplasma urealyticum), IgG",750.00,11.17.A3.201,3 дн,🦠 Серология,,A26.20.005.002,
"Антитела к трихомонаде (Trichomonas vaginalis), IgG.",850.00,11.18.A1.201,3 дн,🦠 Серология,,A26.06.015.001,
"Антитела к токсоплазме (Toxoplasma gondii), IgM",750.00,11.19.A1.201,1 дн,🦠 Серология,,A26.06.081.002,
"Антитела к токсоплазме (Toxoplasma gondii), IgG",710.00,11.19.A2.201,1 дн,🦠 Серология,,A26.06.081.001,
"Антитела к токсоплазме (Toxoplasma gondii), IgA",650.00,11.19.A4.201,3 дн,🦠 Серология,,A26.06.081.001.004,
"Антитела к вирусу гепатита А, IgM (Anti-HAV IgM)",900.00,11.1.A1.201,1 дн,🦠 Серология,,A26.06.034.001,
"Антитела к вирусу гепатита А, IgG (Anti-HAV IgG)",860.00,11.1.A2.201,1 дн,🦠 Серология,,A26.06.034.002,
"Антитела к описторхисам (Opisthorchis felineus), IgM",985.00,11.20.A10.201,3 дн,🦠 Серология,,A26.06.062.002,
"Антитела к описторхисам (Opisthorchis felineus), IgG",850.00,11.20.A1.201,3 дн,🦠 Серология,,A26.06.062.001,
"Антитела к аскаридам (Ascaris Lumbricoides), IgG",1100.00,11.20.A12.201,3 дн,🦠 Серология,,A26.06.121.001,
"Антитела к клонорхам (Clonorchis sinensis), IgG",950.00,11.20.A13.201,8 дн,🦠 Серология,,A26.06.120.001,
"ЦИК, содержащие антигены описторхов",650.00,11.20.A14.201,8 дн,🦠 Серология,,A09.05.074.004,
"Антитела к анизакидам (Anisakis), IgG",970.00,11.20.A16,4 дн,🦠 Серология,,A26.06.122.002,
"Антитела к эхинококкам (Echinococcus granulosus), IgG",750.00,11.20.A2.201,3 дн,🦠 Серология,,A26.06.024,
"Антитела к токсокарам (Toxocara canis), IgG",650.00,11.20.A3.201,3 дн,🦠 Серология,,A26.06.080.001,
"Антитела к трихинеллам (Trichinella spiralis), IgG",650.00,11.20.A4.201,3 дн,🦠 Серология,,A26.06.079.001,
"Антитела к шистосомам (Schistosoma mansoni), IgG",1080.00,11.20.A5.201,8 дн,🦠 Серология,,A26.06.124.001,
"Антитела к угрицам кишечным (Strongyloides stercoralis), IgG",850.00,11.20.A6.201,8 дн,🦠 Серология,,A26.06.123.001,
"Антитела к цистицеркам свиного цепня (Taenia solium), IgG ",850.00,11.20.A7.201,8 дн,🦠 Серология,,A26.06.122.001,
"Антитела к трематодам (печеночный сосальщик Fasciola hepatica,кошачья двуустка Opisthorchis felineus), IgG,суммарно",850.00,11.20.A8.201,8 дн,🦠 Серология,,A26.06.125.001,
"Антитела к кандиде (Candida albicans), IgA",650.00,11.21.A1.201,3 дн,🦠 Серология,,A26.06.006.002,
"Антитела к кандиде (Candida albicans), IgG",870.00,11.21.A2.201,3 дн,🦠 Серология,,A26.06.006.003,
"Антитела к кандиде (Candida albicans), IgM",860.00,11.21.A3.201,3 дн,🦠 Серология,,A26.06.006.007,
"Антитела к лямблиям (Lamblia intestinalis), суммарные",860.00,11.22.A1.201,3 дн,🦠 Серология,,A26.06.032.001,
"Антитела к лямблиям (Lamblia intestinalis) , IgM",690.00,11.22.A2.201,3 дн,🦠 Серология,,A26.06.032.002,
"Антитела к микобактериям туберкулеза (Mycobacterium tuberculosis), суммарные",1800.00,11.23.A1.201,4 дн,🦠 Серология,,A26.06.094.001,
"Антитела к боррелиям (Borrelia burgdorferi) , IgM",910.00,11.24.A1.201,3 дн,🦠 Серология,,A26.06.011.001,
"Антитела к боррелиям (Borrelia burgdorferi ), IgG",910.00,11.24.A2.201,3 дн,🦠 Серология,,A26.06.011.002,
"Антитела к боррелиям (Borrelia), IgM (иммуноблот)",2680.00,11.24.D1.201,3 дн,🦠 Серология,,A26.06.011.004,
"Антитела к боррелиям (Borrelia), IgG (иммуноблот)",2680.00,11.24.D2.201,3 дн,🦠 Серология,,A26.06.011.005,
"Антитела к легионеллам (Legionella pneumophila), суммарные",920.00,11.25.A1.201,8 дн,🦠 Серология,,A26.06.051.001,
"Антитела к парвовирусу (Parvovirus) B19, IgG",1095.00,11.26.A1.201,8 дн,🦠 Серология,,A26.06.063.001,
"Антитела к парвовирусу (Parvovirus) B19, IgM",1095.00,11.26.A2.201,8 дн,🦠 Серология,,A26.06.063.002,
Антитела к возбудителю дифтерии (Corynebacterium diphtheriae),1145.00,11.28.A1.201,3 дн,🦠 Серология,,A26.06.104.001,
Антитела к возбудителю столбняка (Clostridium tetani),950.00,11.28.A2.201,4 дн,🦠 Серология,,A26.06.105,
"Поверхностный антиген вируса гепатита В (австралийский антиген, HbsAg)",450.00,11.2.A1.201,1 дн,🦠 Серология,,A26.06.036.001,
Антитела к поверхностному антигену вируса гепатита В (Anti-HBs),790.00,11.2.A2.201,1 дн,🦠 Серология,,A26.06.040.002,
"Антитела к ядерному (cor) антигену вируса гепатита В, суммарные (Anti-HBcor)",750.00,11.2.A3.201,1 дн,🦠 Серология,,A26.06.039,
"Антитела к ядерному (cor) антигену вируса гепатита В, IgM (Anti-HBcor IgM)",960.00,11.2.A4.201,1 дн,🦠 Серология,,A26.06.039.001,
Антиген HBе вируса гепатита В (HbеAg),850.00,11.2.A5.201,1 дн,🦠 Серология,,A26.06.035,
"Антитела к HBе-антигену вируса гепатита B, суммарные (Anti-HBе)",780.00,11.2.A6.201,1 дн,🦠 Серология,,A26.06.038,
"Поверхностный антиген вируса гепатита В (австралийский антиген, HbsAg), количественно",1550.00,11.2.A7.201,1 дн,🦠 Серология,,A26.06.036.002,
"Антитела к лейшмании (Leishmania infantum), IgG",990.00,11.30.A1.201,8 дн,🦠 Серология,,A26.06.053.001,
"Антитела к возбудителю псевдотуберкулеза (Yersinia pseudotuberculosis), РПГА, титр",705.00,11.32.A1,6 дн,🦠 Серология,,A26.06.094.002,
"Антитела к иерсиниям (Yersinia enterocolitica), IgA; IgG",1200.00,11.32.D1.201,5 дн,🦠 Серология,,A26.06.093.001,
"Антитела к коклюшному токсину, IgА",1050.00,11.33.A1.201,3 дн,🦠 Серология,,A26.06.103.001,
Антитела  к коклюшному токсину IgG,1050.00,11.33.A2.201,3 дн,🦠 Серология,,A26.06.103.002,
"Антитела к возбудителю коклюша (Bordetella pertussis), IgM",1050.00,11.33.A3.201,2 дн,🦠 Серология,,A26.06.103.004,
"Антитела к возбудителям коклюша и паракоклюша (Bordetella pertussis, Bordetella parapertussis), суммарные (РПГА) полуколичественно",1155.00,11.33.D1.201,3 дн,🦠 Серология,,A26.06.102,
Антитела к менингококку (Neisseria meningitidis) ,1430.00,11.34.A1.201,11 дн,🦠 Серология,,A26.06.109,
"Антитела к шигеллам (Shigella flexneri 1-V, V1,  Shigella sonnei)",1450.00,11.35.D1.201,2 дн,🦠 Серология,,A26.06.097.001,
"Антитела к сальмонеллам (Salmonella) A, B, C1, C2, D, E",705.00,11.36.A1.201,2дн,🦠 Серология,,A26.06.077.001,
Антитела к Vi-aнтигену вобудителя брюшного тифа (Salmonella typhi),730.00,11.37.A1.201,2 дн,🦠 Серология,,A26.06.077.002,
Антитела к антигенам Т-лимфотропных вирусов (HTLV) 1 и 2 типов ,1560.00,11.38.A1.201,5 дн,🦠 Серология,,A26.06.087,
"Антитела к бруцелле (Brucella), IgА",650.00,11.39.A1.201,2 дн,🦠 Серология,,A26.06.012.005,
"Антитела к бруцелле (Brucella ), IgG",650.00,11.39.A2.201,2 дн,🦠 Серология,,A26.06.012.006,
"Антитела к вирусу гепатита C, IgM (Anti-HCV IgM)",760.00,11.3.A2.201,1 дн,🦠 Серология,,A26.06.041.003,
"Антитела к вирусу гепатита С, сум. (Anti-HCV)",765.00,11.3.A3,1 дн,🦠 Серология,,A26.06.041,
"Антитела к вирусу клещевого энцефалита, IgM",900.00,11.40.A1.201,4 дн,🦠 Серология,,A26.06.088.001,
"Антитела к вирусу клещевого энцефалита, IgG",900.00,11.40.A2.201,4 дн,🦠 Серология,,A26.06.088.002,
"Антитела к амебе дизентерийной (Entamoeba histolytica), IgG",980.00,11.41.A1.201,8 дн,🦠 Серология,,A26.06.026.001,
"Антитела к вирусу Коксаки (Coxsackievirus), IgM, кач.",1950.00,11.46.A2,8 дн,🦠 Серология,,A26.06.019.001,
"Антитела к грибам (Aspergillus fumigatus), IgG",750.00,11.47.A2.201,1 дн,🦠 Серология,,A26.06.006.004,
Антитела к вирусу Варицелла-Зостер (Varicella-Zoster) IgM,1080.00,11.49.A1.201,3 дн,🦠 Серология,,A26.06.084.002,
Антитела к вирусу Варицелла-Зостер (Varicella-Zoster) IgА,1305.00,11.49.A2.201,3 дн,🦠 Серология,,A26.06.084.003,
Антитела к вирусу Варицелла-Зостер (Varicella-Zoster) IgG,970.00,11.49.A3.201,3 дн,🦠 Серология,,A26.06.084.001,
"Антитела к вирусу гепатита D, суммарные (Anti-HDV)",930.00,11.4.A1.201,5 дн,🦠 Серология,,A26.06.043.002.001,
"Антитела к вирусу гепатита D, IgM (Anti-HDV IgM)",930.00,11.4.A2.201,10 дн,🦠 Серология,,A26.06.043.001,
"Антитела к Аденовирусу (Adenoviridae), IgA",920.00,11.51.A1.201,8 дн,🦠 Серология,,A26.06.005.003,
"Антитела к Аденовирусу (Adenoviridae), IgG",920.00,11.51.A2.201,8 дн,🦠 Серология,,A26.06.005.002,
"Антитела к Аденовирусу (Adenoviridae), IgM",920.00,11.51.A3.201,8 дн,🦠 Серология,,A26.06.005.001,
"Антитела к респираторно-синцитиальному вирусу (RSV), IgG",1430.00,11.52.A2,8 дн,🦠 Серология,,A26.06.067.001,
"Антитела к респираторно-синцитиальному вирусу (RSV), IgM",1430.00,11.52.A3,8 дн,🦠 Серология,,A26.06.067.002,
"Антитела IgG к RBD домену S 1 белка коронавируса SARS-Cov2 (Abbott, США), колич.",810.00,11.57.A14,1 дн,🦠 Серология,,A26.06.057.012,
"Антитела IgG к S-белку коронавируса SARS-CоV-2 (Вектор-Бест, Россия)",725.00,11.57.A16,1 дн,🦠 Серология,,A26.06.057.007,
"Антитела IgM к S- и N-белкам коронавируса SARS-CоV-2 (ИФА, Россия), полуколич.",725.00,11.57.A5,3 дн,🦠 Серология,,A26.06.057.008,
"Антитела к вирусу гепатита E, IgG (Anti-HIV IgG)",950.00,11.5.A1.201,3 дн,🦠 Серология,,A26.06.044.002,
"Антитела к вирусу гепатита E (Anti-HEV), IgM",950.00,11.5.A2.201,3 дн,🦠 Серология,,A26.06.044.001,
Микрореакция на сифилис качественно (RPR) ,505.00,11.6.A1.201,1 дн,📋 Прочие анализы,,A26.06.082.012,
Реакция пассивной гемагглютинации на сифилис (РПГА) качественно,620.00,11.6.A2.201,2 дн,📋 Прочие анализы,,A26.06.082.003,
Реакция пассивной гемагглютинации на сифилис (РПГА) полуколичественно,645.00,11.6.A3.201,1 дн,📋 Прочие анализы,,A26.06.082.011,
"Антитела к бледной трепонеме (T.pallidum), сум.",805.00,11.6.A4.201,1 дн,🦠 Серология,,A26.06.082.002,
"Антитела к бледной трепонеме (Treponema pallidum), IgM ",1045.00,11.6.A5.201,1 дн,🦠 Серология,,A26.06.082.009,
"Микрореакция на сифилис, полуколичественно (RPR)",510.00,11.6.A6.201,1 дн,📋 Прочие анализы,,A26.06.082.001,
"Антитела к бледной трепонеме (антиген TmpA), IgG",755.00,11.6.A8.201,2дн,🦠 Серология,,A26.06.082.010,
ВИЧ (антитела и антигены),610.00,11.7.A1.201,1 дн,🦠 Серология,,A26.06.049.001,
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgM",790.00,11.8.A1.201,3 дн,🦠 Серология,,A26.06.045.003,
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgG",790.00,11.8.A2.201,1 дн,🦠 Серология,,A26.06.045.004,
"Антитела к вирусу простого герпеса I типа (Herpes simplex virus I), IgM",790.00,11.8.A4.201,3 дн,🦠 Серология,,A26.06.045.005,
"Антитела к вирусу простого герпеса I типа (Herpes simplex virus I), IgG",790.00,11.8.A5.201,3 дн,🦠 Серология,,A26.06.045.001,
"Антитела к вирусу простого герпеса II типа (Herpes simplex virus II), IgM",780.00,11.8.A6.201,3 дн,🦠 Серология,,A26.06.045.006,
"Антитела к вирусу простого герпеса II типа (Herpes simplex virus II), IgG",780.00,11.8.A7.201,3 дн,🦠 Серология,,A26.06.045.002,
"Антитела к вирусу герпеса VI типа (Human herpes virus VI), IgG",850.00,11.8.A8.201,3 дн,🦠 Серология,,A26.06.047.001,
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgM (иммуноблот)",8030.00,11.8.D1.201,3 дн,🦠 Серология,,A26.06.045.003.001,
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgG (иммуноблот)",8030.00,11.8.D2.201,3 дн,🦠 Серология,,A26.06.046.002.001,
"Антитела к цитомегаловирусу (Cytomegalovirus, CMV), IgM",850.00,11.9.A1.201,1 дн,🦠 Серология,,A26.06.022.002,
"Антитела к цитомегаловирусу (Cytomegalovirus, CMV), IgG",690.00,11.9.A2.201,1 дн,🦠 Серология,,A26.06.022.001,
"Антитела к цитомегаловирусу (Cytomegalovirus, CMV), IgG (иммуноблот)",3500.00,11.9.D2.201,1 дн,🦠 Серология,,A26.06.022.005,
Антитела к предраннему белку Цитомегаловируса (CMV IEA) IgM/IgG,1365.00,11.9.D4,9 дн,🦠 Серология,,A26.06.022.006,
"BCR-ABL p190 – t(9;22), качест.",3157.00,1.1.A11.202,11 дн,🧬 ПЦР диагностика & Генетика,,A27.30.070.002,
"PML-RARA тип bcr 1-2 – t(15;17), качест.",3157.00,1.1.A1.202,11 дн,🧬 ПЦР диагностика & Генетика,,A27.30.090.002,
"BCR-ABL p190 – t(9;22), колич.",3683.00,1.1.A12.202,11 дн,🧬 ПЦР диагностика & Генетика,,A27.05.017.006,
"AML1-ETO – t(8;21), кач.",5894.00,1.1.A14.202,11 дн,📋 Прочие анализы,,A27.30.153,
"PML-RARA тип bcr 1-2 – t(15;17), колич.",6841.00,1.1.A2.202,11 дн,🧬 ПЦР диагностика & Генетика,,A27.30.090.004,
"PML-RARA тип bcr 3 – t(15;17), качест.",3052.00,1.1.A3.202,11 дн,🧬 ПЦР диагностика & Генетика,,A27.30.090.003,
"Определение мутации V617F в 14 экзоне гена Jak-2 киназы, кач.",2631.00,1.1.A34.202,11 дн,🧬 ПЦР диагностика & Генетика,,A27.05.012,
"Определение мутации V617F в 14 экзоне гене Jak-2 киназы, колич.",3157.00,1.1.A35.202,11 дн,🧬 ПЦР диагностика & Генетика,,A27.05.012.001,
Электрофорез гемоглобина для диагностики гемоглобинопатий,3100.00,1.1.D1,10 дн,📋 Прочие анализы,,A09.05.003.005,
"РНК вируса гепатита D, кровь, кач.",1015.00,12.10.A1.202,5 дн,🦠 Серология,,A26.05.023.001,
"РНК вируса гепатита G, кровь, кач.",1045.00,12.11.A1.202,7 дн,🦠 Серология,,A26.05.026.001,
"ДНК цитомегаловируса (Cytomegalovirus), кровь, кач.",450.00,12.13.A1.202,3 дн,🦠 Серология,,A26.05.017.001,
"ДНК цитомегаловируса (Cytomegalovirus), кровь, колич.",450.00,12.13.A2.202,3 дн,🦠 Серология,,A26.05.017.002,
"ДНК вируса простого герпеса I, II типа (Herpes simplex virus I, II), кровь, кач.",510.00,12.14.A1.202,3 дн,🦠 Серология,,A26.05.035.001,
"ДНК вируса герпеса VI типа (Human Herpes virus VI), кровь, кач.",510.00,12.15.A1.202,3 дн,🦠 Серология,,A26.05.033.001,
"ДНК вируса герпеса VI типа (Human Herpes virus VI), кровь, колич.",510.00,12.15.A2,3 дн,🦠 Серология,,A26.05.033.002,
"ДНК вируса Эпштейна-Барр (Epstein-Barr virus), кровь, кач.",470.00,12.16.A1.202,3дн,🦠 Серология,,A26.05.011.001,
"ДНК вируса Эпштейна-Барр (Epstein-Barr virus), кровь, колич.",590.00,12.16.A2.202,3 дн,🦠 Серология,,A26.05.011.002,
