Название услуги,Цена,Код услуги,Длительность
"Иммунофенотипирование клеток костного мозга или периферической крови при лимфопролиферативных заболеваниях методом проточной цитометрии (ЛПЗ, острый лейкоз, множественная миелома). Исследование для первичной диагностики",21010.00,1.0.A6.202,0
Клинический анализ крови без лейкоцитарной формулы (венозная кровь),420.00,1.0.D1.202,1дн
Клинический анализ крови с лейкоцитарной формулой (5DIFF) (венозная кровь),550.00,1.0.D2.202,1 дн
Ретикулоциты (венозная кровь),400.00,1.0.D3.202,1 дн
Клинический анализ крови (5 DIFF) с подсчетом лейкоцитарной формулы врачом КЛД (венозная кровь),870.00,1.0.D6,1 дн
"Антитела к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IgM",810.00,11.10.A1.201,1 дн
"Антитела к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IgG",920.00,11.10.A2.201,1 дн
"Антитела к ядерному антигену вируса Эпштейна-Барр (Epstein-Barr virus EBNA), IgG",790.00,11.10.A7.201,1 дн
"Антитела к раннему антигену вируса Эпштейна-Барр (Epstein-Barr virus EA), IgG",790.00,11.10.A8.201,3 дн
"Антитела к вирусу Эпштейна-Барр (Epstein-Barr virus), IgM (иммуноблот)",3850.00,11.10.D1.201,3 дн
"Антитела к вирусу Эпштейна-Барр (Epstein-Barr virus), IgG (иммуноблот)",3850.00,11.10.D2.201,3 дн
"Антитела к вирусу краснухи, IgM",890.00,11.11.A1.201,1 дн
"Антитела к вирусу краснухи, IgG",710.00,11.11.A2.201,1 дн
"Антитела к вирусу краснухи, IgG (иммуноблот)",4200.00,11.11.D1.201,3 дн
"Антитела к вирусу кори, IgG",990.00,11.12.A2.201,2 дн
"Антитела к вирусу эпидемического паротита, IgМ",920.00,11.13.A1.201,5 дн
"Антитела к вирусу эпидемического паротита, IgG",920.00,11.13.A2.201,5 дн
"Антитела к хеликобактеру (Helicobacter pylori), IgG",845.00,11.14.A1.201,1 дн
"Антитела к хеликобактеру (Helicobacter pylori), IgA",990.00,11.14.A2.201,8 дн
"Антитела к хеликобактеру (Helicobacter pylori), IgМ",990.00,11.14.A3.201,1 дн
"Антитела к хламидии (Chlamydia trachomatis), IgA",750.00,11.15.A1.201,3 дн
"Антитела к хламидии (Chlamydia trachomatis), IgM",750.00,11.15.A2.201,3 дн
"Антитела к хламидии (Chlamydia trachomatis), IgG",750.00,11.15.A3.201,3 дн
"Антитела к хламидофиле (Chlamydophila pneumoniae), IgА",750.00,11.15.A4.201,3 дн
"Антитела к хламидофиле (Chlamydophila pneumoniae), IgM",750.00,11.15.A5.201,3дн
"Антитела к хламидофиле (Chlamydophila pneumoniae), IgG",750.00,11.15.A6.201,3 дн
"Антитела к белку теплового шока Chlamydia trachomatis (Anti-cHSP60), IgG",940.00,11.15.A8,9 дн
"Антитела к микоплазме (Mycoplasma hominis), IgА",720.00,11.16.A1.201,3 дн
"Антитела к микоплазме (Mycoplasma hominis), IgG",720.00,11.16.A3.201,3 дн
"Антитела к микоплазме (Mycoplasma pneumoniae), IgА",710.00,11.16.A4.201,3 дн
"Антитела к микоплазме (Mycoplasma pneumoniae), IgG ",700.00,11.16.A5.201,3 дн
"Антитела к микоплазме (Mycoplasma pneumoniae), IgM ",700.00,11.16.A6.201,3 дн
"Антитела к уреаплазме (Ureaplasma urealyticum), IgА",750.00,11.17.A1.201,3 дн
"Антитела к уреаплазме (Ureaplasma urealyticum), IgG",750.00,11.17.A3.201,3 дн
"Антитела к трихомонаде (Trichomonas vaginalis), IgG.",850.00,11.18.A1.201,3 дн
"Антитела к токсоплазме (Toxoplasma gondii), IgM",750.00,11.19.A1.201,1 дн
"Антитела к токсоплазме (Toxoplasma gondii), IgG",710.00,11.19.A2.201,1 дн
"Антитела к токсоплазме (Toxoplasma gondii), IgA",650.00,11.19.A4.201,3 дн
"Антитела к вирусу гепатита А, IgM (Anti-HAV IgM)",900.00,11.1.A1.201,1 дн
"Антитела к вирусу гепатита А, IgG (Anti-HAV IgG)",860.00,11.1.A2.201,1 дн
"Антитела к описторхисам (Opisthorchis felineus), IgM",985.00,11.20.A10.201,3 дн
"Антитела к описторхисам (Opisthorchis felineus), IgG",850.00,11.20.A1.201,3 дн
"Антитела к аскаридам (Ascaris Lumbricoides), IgG",1100.00,11.20.A12.201,3 дн
"Антитела к клонорхам (Clonorchis sinensis), IgG",950.00,11.20.A13.201,8 дн
"ЦИК, содержащие антигены описторхов",650.00,11.20.A14.201,8 дн
"Антитела к анизакидам (Anisakis), IgG",970.00,11.20.A16,4 дн
"Антитела к эхинококкам (Echinococcus granulosus), IgG",750.00,11.20.A2.201,3 дн
"Антитела к токсокарам (Toxocara canis), IgG",650.00,11.20.A3.201,3 дн
"Антитела к трихинеллам (Trichinella spiralis), IgG",650.00,11.20.A4.201,3 дн
"Антитела к шистосомам (Schistosoma mansoni), IgG",1080.00,11.20.A5.201,8 дн
"Антитела к угрицам кишечным (Strongyloides stercoralis), IgG",850.00,11.20.A6.201,8 дн
"Антитела к цистицеркам свиного цепня (Taenia solium), IgG ",850.00,11.20.A7.201,8 дн
"Антитела к трематодам (печеночный сосальщик Fasciola hepatica,кошачья двуустка Opisthorchis felineus), IgG,суммарно",850.00,11.20.A8.201,8 дн
"Антитела к кандиде (Candida albicans), IgA",650.00,11.21.A1.201,3 дн
"Антитела к кандиде (Candida albicans), IgG",870.00,11.21.A2.201,3 дн
"Антитела к кандиде (Candida albicans), IgM",860.00,11.21.A3.201,3 дн
"Антитела к лямблиям (Lamblia intestinalis), суммарные",860.00,11.22.A1.201,3 дн
"Антитела к лямблиям (Lamblia intestinalis) , IgM",690.00,11.22.A2.201,3 дн
"Антитела к микобактериям туберкулеза (Mycobacterium tuberculosis), суммарные",1800.00,11.23.A1.201,4 дн
"Антитела к боррелиям (Borrelia burgdorferi) , IgM",910.00,11.24.A1.201,3 дн
"Антитела к боррелиям (Borrelia burgdorferi ), IgG",910.00,11.24.A2.201,3 дн
"Антитела к боррелиям (Borrelia), IgM (иммуноблот)",2680.00,11.24.D1.201,3 дн
"Антитела к боррелиям (Borrelia), IgG (иммуноблот)",2680.00,11.24.D2.201,3 дн
"Антитела к легионеллам (Legionella pneumophila), суммарные",920.00,11.25.A1.201,8 дн
"Антитела к парвовирусу (Parvovirus) B19, IgG",1095.00,11.26.A1.201,8 дн
"Антитела к парвовирусу (Parvovirus) B19, IgM",1095.00,11.26.A2.201,8 дн
Антитела к возбудителю дифтерии (Corynebacterium diphtheriae),1145.00,11.28.A1.201,3 дн
Антитела к возбудителю столбняка (Clostridium tetani),950.00,11.28.A2.201,4 дн
"Поверхностный антиген вируса гепатита В (австралийский антиген, HbsAg)",450.00,11.2.A1.201,1 дн
Антитела к поверхностному антигену вируса гепатита В (Anti-HBs),790.00,11.2.A2.201,1 дн
"Антитела к ядерному (cor) антигену вируса гепатита В, суммарные (Anti-HBcor)",750.00,11.2.A3.201,1 дн
"Антитела к ядерному (cor) антигену вируса гепатита В, IgM (Anti-HBcor IgM)",960.00,11.2.A4.201,1 дн
Антиген HBе вируса гепатита В (HbеAg),850.00,11.2.A5.201,1 дн
"Антитела к HBе-антигену вируса гепатита B, суммарные (Anti-HBе)",780.00,11.2.A6.201,1 дн
"Поверхностный антиген вируса гепатита В (австралийский антиген, HbsAg), количественно",1550.00,11.2.A7.201,1 дн
"Антитела к лейшмании (Leishmania infantum), IgG",990.00,11.30.A1.201,8 дн
"Антитела к возбудителю псевдотуберкулеза (Yersinia pseudotuberculosis), РПГА, титр",705.00,11.32.A1,6 дн
"Антитела к иерсиниям (Yersinia enterocolitica), IgA; IgG",1200.00,11.32.D1.201,5 дн
"Антитела к коклюшному токсину, IgА",1050.00,11.33.A1.201,3 дн
Антитела  к коклюшному токсину IgG,1050.00,11.33.A2.201,3 дн
"Антитела к возбудителю коклюша (Bordetella pertussis), IgM",1050.00,11.33.A3.201,2 дн
"Антитела к возбудителям коклюша и паракоклюша (Bordetella pertussis, Bordetella parapertussis), суммарные (РПГА) полуколичественно",1155.00,11.33.D1.201,3 дн
Антитела к менингококку (Neisseria meningitidis) ,1430.00,11.34.A1.201,11 дн
"Антитела к шигеллам (Shigella flexneri 1-V, V1,  Shigella sonnei)",1450.00,11.35.D1.201,2 дн
"Антитела к сальмонеллам (Salmonella) A, B, C1, C2, D, E",705.00,11.36.A1.201,2дн
Антитела к Vi-aнтигену вобудителя брюшного тифа (Salmonella typhi),730.00,11.37.A1.201,2 дн
Антитела к антигенам Т-лимфотропных вирусов (HTLV) 1 и 2 типов ,1560.00,11.38.A1.201,5 дн
"Антитела к бруцелле (Brucella), IgА",650.00,11.39.A1.201,2 дн
"Антитела к бруцелле (Brucella ), IgG",650.00,11.39.A2.201,2 дн
"Антитела к вирусу гепатита C, IgM (Anti-HCV IgM)",760.00,11.3.A2.201,1 дн
"Антитела к вирусу гепатита С, сум. (Anti-HCV)",765.00,11.3.A3,1 дн
"Антитела к вирусу клещевого энцефалита, IgM",900.00,11.40.A1.201,4 дн
"Антитела к вирусу клещевого энцефалита, IgG",900.00,11.40.A2.201,4 дн
"Антитела к амебе дизентерийной (Entamoeba histolytica), IgG",980.00,11.41.A1.201,8 дн
"Антитела к вирусу Коксаки (Coxsackievirus), IgM, кач.",1950.00,11.46.A2,8 дн
"Антитела к грибам (Aspergillus fumigatus), IgG",750.00,11.47.A2.201,1 дн
Антитела к вирусу Варицелла-Зостер (Varicella-Zoster) IgM,1080.00,11.49.A1.201,3 дн
Антитела к вирусу Варицелла-Зостер (Varicella-Zoster) IgА,1305.00,11.49.A2.201,3 дн
Антитела к вирусу Варицелла-Зостер (Varicella-Zoster) IgG,970.00,11.49.A3.201,3 дн
"Антитела к вирусу гепатита D, суммарные (Anti-HDV)",930.00,11.4.A1.201,5 дн
"Антитела к вирусу гепатита D, IgM (Anti-HDV IgM)",930.00,11.4.A2.201,10 дн
"Антитела к Аденовирусу (Adenoviridae), IgA",920.00,11.51.A1.201,8 дн
"Антитела к Аденовирусу (Adenoviridae), IgG",920.00,11.51.A2.201,8 дн
"Антитела к Аденовирусу (Adenoviridae), IgM",920.00,11.51.A3.201,8 дн
"Антитела к респираторно-синцитиальному вирусу (RSV), IgG",1430.00,11.52.A2,8 дн
"Антитела к респираторно-синцитиальному вирусу (RSV), IgM",1430.00,11.52.A3,8 дн
"Антитела IgG к RBD домену S 1 белка коронавируса SARS-Cov2 (Abbott, США), колич.",810.00,11.57.A14,1 дн
"Антитела IgG к S-белку коронавируса SARS-CоV-2 (Вектор-Бест, Россия)",725.00,11.57.A16,1 дн
"Антитела IgM к S- и N-белкам коронавируса SARS-CоV-2 (ИФА, Россия), полуколич.",725.00,11.57.A5,3 дн
"Антитела к вирусу гепатита E, IgG (Anti-HIV IgG)",950.00,11.5.A1.201,3 дн
"Антитела к вирусу гепатита E (Anti-HEV), IgM",950.00,11.5.A2.201,3 дн
Микрореакция на сифилис качественно (RPR) ,505.00,11.6.A1.201,1 дн
Реакция пассивной гемагглютинации на сифилис (РПГА) качественно,620.00,11.6.A2.201,2 дн
Реакция пассивной гемагглютинации на сифилис (РПГА) полуколичественно,645.00,11.6.A3.201,1 дн
"Антитела к бледной трепонеме (T.pallidum), сум.",805.00,11.6.A4.201,1 дн
"Антитела к бледной трепонеме (Treponema pallidum), IgM ",1045.00,11.6.A5.201,1 дн
"Микрореакция на сифилис, полуколичественно (RPR)",510.00,11.6.A6.201,1 дн
"Антитела к бледной трепонеме (антиген TmpA), IgG",755.00,11.6.A8.201,2дн
ВИЧ (антитела и антигены),610.00,11.7.A1.201,1 дн
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgM",790.00,11.8.A1.201,3 дн
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgG",790.00,11.8.A2.201,1 дн
"Антитела к вирусу простого герпеса I типа (Herpes simplex virus I), IgM",790.00,11.8.A4.201,3 дн
"Антитела к вирусу простого герпеса I типа (Herpes simplex virus I), IgG",790.00,11.8.A5.201,3 дн
"Антитела к вирусу простого герпеса II типа (Herpes simplex virus II), IgM",780.00,11.8.A6.201,3 дн
"Антитела к вирусу простого герпеса II типа (Herpes simplex virus II), IgG",780.00,11.8.A7.201,3 дн
"Антитела к вирусу герпеса VI типа (Human herpes virus VI), IgG",850.00,11.8.A8.201,3 дн
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgM (иммуноблот)",8030.00,11.8.D1.201,3 дн
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgG (иммуноблот)",8030.00,11.8.D2.201,3 дн
"Антитела к цитомегаловирусу (Cytomegalovirus, CMV), IgM",850.00,11.9.A1.201,1 дн
"Антитела к цитомегаловирусу (Cytomegalovirus, CMV), IgG",690.00,11.9.A2.201,1 дн
"Антитела к цитомегаловирусу (Cytomegalovirus, CMV), IgG (иммуноблот)",3500.00,11.9.D2.201,1 дн
Антитела к предраннему белку Цитомегаловируса (CMV IEA) IgM/IgG,1365.00,11.9.D4,9 дн
"BCR-ABL p190 – t(9;22), качест.",3157.00,1.1.A11.202,11 дн
"PML-RARA тип bcr 1-2 – t(15;17), качест.",3157.00,1.1.A1.202,11 дн
"BCR-ABL p190 – t(9;22), колич.",3683.00,1.1.A12.202,11 дн
"AML1-ETO – t(8;21), кач.",5894.00,1.1.A14.202,11 дн
"PML-RARA тип bcr 1-2 – t(15;17), колич.",6841.00,1.1.A2.202,11 дн
"PML-RARA тип bcr 3 – t(15;17), качест.",3052.00,1.1.A3.202,11 дн
"Определение мутации V617F в 14 экзоне гена Jak-2 киназы, кач.",2631.00,1.1.A34.202,11 дн
"Определение мутации V617F в 14 экзоне гене Jak-2 киназы, колич.",3157.00,1.1.A35.202,11 дн
Электрофорез гемоглобина для диагностики гемоглобинопатий,3100.00,1.1.D1,10 дн
"РНК вируса гепатита D, кровь, кач.",1015.00,12.10.A1.202,5 дн
"РНК вируса гепатита G, кровь, кач.",1045.00,12.11.A1.202,7 дн
"ДНК цитомегаловируса (Cytomegalovirus), кровь, кач.",450.00,12.13.A1.202,3 дн
"ДНК цитомегаловируса (Cytomegalovirus), кровь, колич.",450.00,12.13.A2.202,3 дн
"ДНК вируса простого герпеса I, II типа (Herpes simplex virus I, II), кровь, кач.",510.00,12.14.A1.202,3 дн
"ДНК вируса герпеса VI типа (Human Herpes virus VI), кровь, кач.",510.00,12.15.A1.202,3 дн
"ДНК вируса герпеса VI типа (Human Herpes virus VI), кровь, колич.",510.00,12.15.A2,3 дн
"ДНК вируса Эпштейна-Барр (Epstein-Barr virus), кровь, кач.",470.00,12.16.A1.202,3дн
"ДНК вируса Эпштейна-Барр (Epstein-Barr virus), кровь, колич.",590.00,12.16.A2.202,3 дн
"ДНК вируса Варицелла-Зостер (Varicella-Zoster virus), кровь, кач.",480.00,12.17.A1.202,3 дн
"РНК ВИЧ I типа, кровь, кач.",2900.00,12.18.A1.202,3 дн
"РНК ВИЧ I типа, кровь, колич.",7500.00,12.18.A2.202,3 дн
"Одновременное определение ДНК вируса гепатита В, РНК вируса гепатита С, РНК ВИЧ I типа, кровь, кач.",3500.00,12.21.D1.202,5 дн
"ДНК парвовируса B19 (Parvovirus B19), кровь, колич. ",850.00,12.22.A2.202,4 дн
"РНК вируса краснухи (Rubella virus), кровь, кач.",970.00,12.23.A1.202,5 дн
"ДНК аденовируса (типы 3, 2, 5, 4, 7, 12, 16, 40, 41, 48), кровь, кач.",1100.00,12.25.A1.202,3 дн
"ДНК вируса герпеса VII типа (Human Herpes virus VII), кровь, кач.",625.00,12.26.A1.202,7 дн
"ПЦР-диагностика клещевого энцефалита, кровь, кач.",1035.00,12.31.A3,4 дн
"ПЦР-диагностика клещевых инфекций возбудителей боррелиоза (Borrelia burgdorferi), моноцитарного эрлихиоза (Ehrlichia chaffeensis) и анаплазмоза (Anaplasma phagocytophilum), кровь, кач.",2260.00,12.31.D1,4 дн
"ДНК листерии (Listeria monocytogenes), кровь, кач.",550.00,12.4.A1.202,3 дн
"ДНК токсоплазмы (Toxoplasma gondii), кровь, кач.",520.00,12.5.A1.202,3 дн
"ДНК микобактерии туберкулеза (Mycobacterium tuberculosis), кровь, кач.",580.00,12.6.A1.202,5 дн
"РНК вируса гепатита А, кровь, кач.",980.00,12.7.A1.202,5 дн
"ДНК вируса гепатита B, кровь, кач.",750.00,12.8.A1.202,3 дн
"ДНК вируса гепатита B, кровь, колич.",4500.00,12.8.A2.202,3 дн
"ДНК ВГВ, генотип (A,B,C,D) кровь, кач.",2900.00,12.8.D2,7 дн
"РНК вируса гепатита C, кровь, кач.",900.00,12.9.A1.202,3 дн
"РНК вируса гепатита C, кровь, колич.",3200.00,12.9.A2.202,5 дн
"РНК ВГC, генотип (1a,1b,2,3a,4,5a,6) кровь, колич. ",4690.00,12.9.D1,7 дн
"РНК ВГC, генотип (1,2,3) кровь, кач.",1755.00,12.9.D2,5 дн
"РНК ВГС, генотип (1a, 1b, 2, 3a, 4, 5a, 6), кровь, кач.",2450.00,12.9.D3,7 дн
Клинический анализ крови без лейкоцитарной формулы (капиллярная кровь),510.00,1.2.D1,1 дн
Клинический анализ крови с лейкоцитарной формулой (5DIFF) (капиллярная кровь),600.00,1.2.D2,1 дн
Ретикулоциты (капиллярная кровь),445.00,1.2.D3,1 дн
Клинический анализ крови (5 DIFF) с подсчетом лейкоцитарной формулы врачом КЛД (капилярная кровь),980.00,1.2.D4,1 дн
СОЭ (капиллярная кровь),330.00,1.2.D5,1 дн
ДНК стрептококков (Streptococcus species) ,940.00,13.11.A2.900,4 дн
ДНК Listeria monocytogenes,785.00,13.13.A1.900,1 дн
ДНК сальмонелл (Salmonella species),840.00,13.14.A1.101,3 дн
ДНК возбудителя псевдотуберкулеза (Yersinia pseudotuberculosis),580.00,13.14.A5.101,7 дн
Диарогенные E.coli,1935.00,13.14.D1.101,3 дн
"РНК ротавирусов, норовирусов, астровирусов (Rotavirus/Norovirus/Astrovirus) в кале",1365.00,13.14.D3,3 дн
ДНК кандиды (Candida albicans ),510.00,13.15.A1.900,3 дн
"ДНК кандиды (Сandida albicans), количественно",550.00,13.15.A2.900,1 дн
ДНК грибов рода кандиды (Candida albicans/Candida glabrata/Candida krusei) с определением типа,845.00,13.15.D1.900,1 дн
ДНК токсоплазмы (Toxoplasma gondii),510.00,13.16.A1.900,1 дн
"ДНК токсоплазмы (Toxoplasma gondii), количественно",840.00,13.16.A2.900,1 дн
ДНК трихомонады (Trichomonas vaginalis),505.00,13.17.A1.900,1 дн
"ДНК трихомонады (Trichomonas vaginalis), количественно",550.00,13.17.A2.900,1 дн
"ДНК цитомегаловируса (Cytomegalovirus, CMV)",450.00,13.18.A1.900,3 дн
"ДНК цитомегаловируса (Cytomegalovirus, CMV), количественно",500.00,13.18.A2.900,3 дн
ДНК вируса простого герпеса I типа (Herpes simplex virus I),410.00,13.19.A1.900,1 дн
ДНК вируса простого герпеса II типа (Herpes simplex virus II),410.00,13.19.A2.900,1 дн
ДНК вируса простого герпеса I и II типов (Herpes simplex virus I и II),480.00,13.19.A3.900,1 дн
"ДНК вируса простого герпеса I типа (Herpes simplex virus I), количественно",510.00,13.19.A4.900,1 дн
"ДНК вируса простого герпеса II типа (Herpes simplex virus II), количественно",510.00,13.19.A5.900,1 дн
ДНК хламидии (Chlamydia trachomatis) ,485.00,13.1.A1.900,1 дн
"ДНК хламидии (Chlamydia trachomatis), количественно",535.00,13.1.A3.900,1 дн
ДНК вируса герпеса VI типа (Human Herpes virus VI),520.00,13.20.A1.900,1 дн
"ДНК вируса герпеса VI типа (Human Herpes virus VI), количественно",560.00,13.20.A2.900,1 дн
ДНК вируса Эпштейна-Барр (Epstein-Barr virus),440.00,13.21.A1.900,1 дн
"ДНК вируса Эпштейна-Барр (Epstein-Barr virus), количественно",520.00,13.21.A2.900,1 дн
ДНК вируса Варицелла-Зостер (Varicella-Zoster virus),505.00,13.22.A1.900,1 дн
"ДНК папилломавируса (Human Papillomavirus, ВПЧ) 16 типа",490.00,13.23.A1.900,1 дн
"ДНК папилломавируса (Human Papillomavirus, ВПЧ) 18 типа",490.00,13.23.A2.900,1 дн
"ДНК папилломавирусов ВПЧ) высокого канцерогенного риска (16-68 типов: 16,18,31,33,35,39,45,51,52,56,58,59,66,68) типирование,кол.",1330.00,13.23.A3.900,1 день
"ВПЧ-тест (Вектор-Бест) высокого канцерогенного риска (16-68 типов: 16, 18 с определением типа, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 суммарно)",1970.00,13.23.D10,8 дн
"ДНК папилломавирусов (Human Papillomavirus, ВПЧ) 31/33 типов с определением типа",405.00,13.23.D1.900,1 дн
"ДНК папилломавирусов (Human Papillomavirus, ВПЧ) 6/11 типов с определением типа",710.00,13.23.D2.900,1 дн
"ДНК папилломавирусов (Human Papillomavirus, ВПЧ) 6/11 типов с определением типа, количественно",940.00,13.23.D3.900,1 дн
"ДНК папилломавирусов (Human Papillomavirus) 31/33 типов с определением типа, количественно",465.00,13.23.D4.900,1 дн
"ВПЧ-тест (ROCHE COBAS4800) высокого канцерогенного риска (16-68 типов: 16, 18 с определением типа, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 без определения типа) ",2315.00,13.23.D5.900,8 дн
"ДНК папилломавирусов (Human Papoiilmavirus) высокого канцерогенного риска (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59 типов)типирование",1395.00,13.23.D6.900,1 день
"ДНК папилломавирусов (HPV) СКРИНИНГ РАСШИРЕННЫЙ с определением 14 типов (Контроль взятия материала, типы 6, 11, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59),типирование кол.",1465.00,13.23.H1,1 день
"ДНК папилломавирусов (HPV), типирование с определением 21 типа (Контроль взятия материала, типы 6, 11, 16, 18, 26, 31, 33, 35, 39, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82),типирование кол.",3235.00,13.23.H2,1 дн
"ДНК папилломавирусов (Human Papillomavirus, ВПЧ) 16/18 типов, количественно",715.00,13.24.D1.900,"ДНК папилломавирусов (Human Papillomavirus, ВПЧ) 16/18 типов, количественно"
РНК энтеровируса (Enterovirus) (кал),755.00,13.25.A1.101,3 дн
РНК ротавируса (Rotavirus) A,1270.00,13.26.A1.101,3 дн
РНК норовируса (Norovirus) II типа,1270.00,13.28.A1.101,3 дн
ДНК Adenovirus,1245.00,13.29.A1.900,5 дн
ДНК микоплазмы (Mycoplasma hominis),510.00,13.2.A1.900,1 дн
ДНК микоплазмы (Mycoplasma genitalium),495.00,13.2.A2.900,1 дн
"ДНК микоплазмы (Mycoplasma genitalium), количественно",535.00,13.2.A4.900,1 дн
"ДНК микоплазмы (Mycoplasma hominis), количественно",535.00,13.2.A5.900,1 дн
"РНК вируса гриппа A/H1N1 (свиной грипп), (кач.)",2550.00,13.30.A2.900,1 дн
РНК коронавируса SARS-CoV-2 (COVID-19),1300.00,13.30.A4,3 дн
Генотипирование вируса гриппа (А/B),1270.00,13.30.D1.900,1 дн
ОРВИ-Скрин,2350.00,13.30.D2.900,3 дн
"РНК вирусов гриппа A/H1N1,A/H3N2",2450.00,13.30.D3.900,1 дн                 
