Название услуги,Цена,Код услуги,Длительность,Категория,Рекомендации после приёма,Код по приказу №804н,Ставка НДС
Аланинаминотрансфераза (АЛТ),385.0,4.1.A1.201,1.0,Биохимия крови,,A09.05.042,
Аспартатаминотрансфераза (АСТ),385.0,4.1.A2.201,1.0,Биохимия крови,,A09.05.041,
Гамма-глутамилтрансфераза (ГГТ),415.0,4.1.A5.201,1.0,Биохимия крови,,A09.05.044,
Лактатдегидрогеназа (ЛДГ),420.0,4.1.A6.201,1.0,Биохимия крови,,A09.05.039,
"Лактатдегидрогеназа (ЛДГ) 1, 2 фракции",505.0,4.1.A7.201,1.0,Биохимия крови,,A09.05.039.001,
Амилаза панкреатическая,580.0,4.1.A14.201,1.0,Онкомаркеры,,A09.05.180,
Липаза,635.0,4.1.A10.201,1.0,Прочие анализы,,A09.05.173,
Холинэстераза,505.0,4.1.A8.201,1.0,Прочие анализы,,A09.05.174,
Альфа-амилаза,520.0,4.1.A9.201,1.0,Прочие анализы,,A09.05.045.001,
Кислая фосфатаза,480.0,4.1.A4.201,1.0,Прочие анализы,,A09.05.175,
Креатинкиназа (КФК),580.0,4.1.A11.201,1.0,Онкомаркеры,,A09.05.043,
Креатинкиназа-МВ,760.0,4.1.A12.201,1.0,Онкомаркеры,,A09.05.177,
Щелочная фосфатаза,415.0,4.1.A3.201,1.0,Прочие анализы,,A09.05.046,
Кальпротектин (S100 A8/A9) в крови,3760.0,4.1.6.A1,9.0,Прочие анализы,,A09.19.013.001,
Тропонин I ультрачувствительный,1300.0,4.3.A12.201,1.0,Прочие анализы,,A09.05.193.002,
С-реактивный белок ультрачувствительный,735.0,4.5.A9.201,1.0,Онкомаркеры,,A09.05.009.002,
Натрийуретический пептид B (BNP),4615.0,4.3.A11.202,1.0,Прочие анализы,,A09.05.256.001,
N-концевой фрагмент натрийуретического пропептида В-типа (NT-proBNP),4755.0,4.3.A22,1.0,Прочие анализы,,A09.05.256,
Гаптоглобин,1015.0,4.3.A3.201,1.0,Прочие анализы,,A09.05.079,
Альфа-2-макроглобулин,890.0,4.3.A15.201,3.0,Прочие анализы,,A09.05.241,
Альфа-1-антитрипсин в крови,1815.0,4.3.A5.201,1.0,Прочие анализы,,A09.05.073,
Кислый альфа-1-гликопротеин (орозомукоид),1040.0,4.3.A6.201,5.0,Прочие анализы,,A09.05.109,
Церулоплазмин,945.0,4.3.A7.201,1.0,Прочие анализы,,A09.05.077,
Определение хрящевого олигомерного белка (COMP),3230.0,4.3.A19.201,10.0,Прочие анализы,,A09.05.296.001,
Ревматоидный фактор (РФ),735.0,4.3.A9.201,1.0,Прочие анализы,,A12.06.019,
Антистрептолизин-О (АСЛО),735.0,4.3.A10.201,1.0,Прочие анализы,,A12.06.015,
Цистатин C,1000.0,4.3.A17.201,6.0,Прочие анализы,,A09.05.230,
Миоглобин,1295.0,4.3.A1.201,1.0,Прочие анализы,,A09.05.006,
Прокальцитонин,2935.0,4.3.A21,1.0,Прочие анализы,,A09.05.209,
С-реактивный белок,730.0,4.3.A2.201,1.0,Онкомаркеры,,A09.05.009,
Медь,530.0,4.7.A8.201,1.0,Прочие анализы,,A09.05.273,
"Натрий, калий, хлор (Na/K/Cl)",555.0,4.7.D1.201,1.0,Прочие анализы,,A09.05.030.001,
"Кальций, скорректированный по альбумину",800.0,50.0.H357,1.0,Прочие анализы,,A09.05.032.003,
Кальций ионизированный,660.0,4.7.A4.204,1.0,Прочие анализы,,A09.05.206,
Кальций общий,410.0,4.7.A3.201,1.0,Прочие анализы,,A09.05.032,
Магний,465.0,4.7.A5.201,1.0,Прочие анализы,,A09.05.127,
Фосфор неорганический,420.0,4.7.A6.201,1.0,Прочие анализы,,A09.05.033,
Цинк,510.0,4.7.A7.201,1.0,Прочие анализы,,A09.05.274,
Коэффициент насыщения трансферрина железом (включает определение железа и ЛЖСС),990.0,4.8.D3.201,1.0,Прочие анализы,,A12.05.019.001,
Латентная железосвязывающая способность сыворотки (ЛЖСС),475.0,4.8.A2.201,1.0,Прочие анализы,,A12.05.011.001,
"Общая железосвязывающая способность сыворотки (ОЖСС) (включает определение железа, ЛЖСС)",490.0,4.8.D1.201,1.0,Прочие анализы,,A12.05.011.002,
Растворимый рецептор трансферрина (sTRF),2360.0,4.8.A8,10.0,Биохимия крови,,A09.05.008.001,
Железо,415.0,4.8.A1.201,1.0,Прочие анализы,,A09.05.007,
Трансферрин,820.0,4.8.A3.201,1.0,Прочие анализы,,A09.05.008,
Эритропоэтин,2045.0,7.7.A3.201,1.0,Прочие анализы,,A09.05.082,
Гепсидин-25,8810.0,4.8.A7,11.0,Прочие анализы,,A09.05.007.002,
Ферритин,915.0,4.8.A4.201,1.0,Биохимия крови,,A09.05.076,
Тиреотропный гормон (ТТГ),690.0,7.1.A1.201,1.0,Прочие анализы,,A09.05.065,
Тироксин свободный (Т4 свободный),730.0,7.1.A2.201,1.0,Прочие анализы,,A09.05.063,
Трийодтиронин свободный (Т3 свободный),760.0,7.1.A3.201,1.0,Прочие анализы,,A09.05.061,
Тироксин общий (Т4 общий),765.0,7.1.A4.201,1.0,Прочие анализы,,A09.05.064,
Трийодтиронин общий (Т3 общий),765.0,7.1.A5.201,1.0,Прочие анализы,,A09.05.060,
Трийодтиронин реверсивный (rT3) ВЭЖХ-МС,8300.0,7.1.A20,7.0,Прочие анализы,,B03.058.001.007,
"Трийодтиронин (Т3) общий, реверсивный (rТ3), индекс Т3/rТ3, ВЭЖХ-МС",8690.0,7.11.A1,10.0,Прочие анализы,,B03.058.001.008,
Антитела к тиреоглобулину (Анти-ТГ),925.0,7.1.A6.201,1.0,Серология,,A12.06.017,
Антитела к микросомальной тиреопероксидазе (Анти-ТПО),900.0,7.1.A7.201,1.0,Серология,,A12.06.045,
Антитела к рецепторам тиреотропного гормона (АТ рТТГ),2245.0,9.0.A13.201,3.0,Серология,,A12.06.046,
Тироксин связывающая способность сыворотки (T-uptake),1035.0,7.1.A10.201,5.0,Прочие анализы,,A09.05.097,
Тиреоглобулин,1235.0,7.1.A8.201,1.0,Прочие анализы,,A09.05.117,
Пролактин,790.0,7.2.A3.201,1.0,Прочие анализы,,A09.05.087,
Прогестерон,800.0,7.2.A5.201,1.0,Прочие анализы,,A09.05.153,
Эстрадиол (Е2),790.0,7.2.A4.201,1.0,Прочие анализы,,A09.05.154,
Фолликулостимулирующий гормон (ФСГ),790.0,7.2.A1.201,1.0,Прочие анализы,,A09.05.132,
Лютеинизирующий гормон (ЛГ),790.0,7.2.A2.201,1.0,Прочие анализы,,A09.05.131,
Макропролактин (включает определение пролактина и биологически активного пролактина),1745.0,7.2.D1.201,2.0,Прочие анализы,,A09.05.210.001,
Гидроксипрогестерон (17-OH-прогестерон),1040.0,7.2.A6.201,3.0,Прочие анализы,,A09.05.139,
Андростендиол глюкуронид,2075.0,7.2.A14.201,8.0,Прочие анализы,,A09.05.147,
Дегидроэпиандростерон сульфат (ДГЭА-сульфат),765.0,7.2.A8.201,1.0,Прочие анализы,,A09.05.149,
"Тестостерон свободный (включает определение тестостерона общего и свободного, ГСПГ (SHBG), расчет индекса свободных андрогенов)",1665.0,50.0.H57.201,1.0,Прочие анализы,,A09.05.078.001.002,
"Глобулин, связывающий половые гормоны (ГСПГ, SHBG)",835.0,7.2.A11.201,1.0,Прочие анализы,,A09.05.160,
"Антимюллеров гормон (АМГ, АМН, MiS)",1905.0,7.2.A13.201,1.0,Прочие анализы,,A09.05.225,
"Эстрогены в крови (эстрадиол, эстрон и эстриол), ВЭЖХ-МС",2990.0,7.2.A21,5.0,Прочие анализы,,A09.05.154.001,
"Тестостерон общий в крови, ВЭЖХ-МС",2270.0,7.2.A29,5.0,Прочие анализы,,A09.05.078.003,
Тестостерон общий,765.0,7.2.A9.201,1.0,Прочие анализы,,A09.05.078,
Ингибин В,1860.0,7.2.A12.201,8.0,Прочие анализы,,A09.05.203,
Андростендион,1910.0,7.2.A7.201,1.0,Прочие анализы,,A09.05.146,
Дигидротестостерон,2065.0,7.4.A4.201,4.0,Прочие анализы,,A09.05.150,
Адренокортикотропный гормон (АКТГ),1315.0,7.4.A1.209,1.0,Прочие анализы,,A09.05.067,
"Соматотропный гормон (СТГ, Гормон роста)",1060.0,7.7.A2.209,1.0,Прочие анализы,,A09.05.066,
"Свободные метанефрины и норметанефрины в крови, ВЭЖХ-МС",2875.0,7.7.D2,5.0,Прочие анализы,,A09.05.143.003,
"Катехоламины крови (адреналин, норадреналин, дофамин) и серотонин, ВЭЖХ-МС",3460.0,7.4.D5.202,5.0,Прочие анализы,,A09.05.133.003,
"Катехоламины крови (адреналин, норадреналин, дофамин), серотонин и их метаболиты (ванилилминдальная кислота, гомованилиновая кислота, 5-гидроксииндолуксусная кислота) в суточной моче, ГХ/ВЭЖХ-МС",6135.0,7.4.D6.407,5.0,Прочие анализы,,A09.28.034.001.002,
"Серотонин, ВЭЖХ-МС",3145.0,7.7.A10,5.0,Прочие анализы,,A09.05.124,
"Общие метанефрины и норметанефрины в суточной моче, ВЭЖХ-МС",4160.0,5.0.D8.403,5.0,Прочие анализы,,A09.28.034.001.001,
Кортизол,825.0,7.4.A2.201,1.0,Прочие анализы,,A09.05.135,
Инсулин,1005.0,7.6.A1.201,1.0,Прочие анализы,,A09.05.056,
"ГастроПанель (Гастрин-17 базовый, Пепсиноген I, Пепсиноген II, Антитела к хеликобактеру, IgG)",6315.0,23.10.D1,8.0,Серология,,B03.004.001.001,
Соотношение концентраций пепсиногена I и пепсиногена II,2665.0,7.7.D1.201,1.0,Прочие анализы,,A09.16.003.001,
"ГастроПанель со стимуляцией (Гастрин-17 базовый, Гастрин-17 стимулированный, Пепсиноген I, Пепсиноген II, Антитела к хеликобактеру, IgG)",7310.0,4.1.9.5.D1,8.0,Серология,,B03.004.001.005,
Гастрин,1305.0,7.7.A1.201,1.0,Биохимия крови,,A09.05.057,
Проинсулин,2655.0,7.6.A3.201,8.0,Прочие анализы,,A09.05.056.003,
C-пептид,970.0,7.6.A2.201,1.0,Прочие анализы,,A09.05.205,
"Альдостерон-рениновое соотношение (включает: альдостерон, прямое определение ренина, соотношение)",2590.0,7.8.D2,4.0,Прочие анализы,,A09.05.069.001,
Ренин,1535.0,7.8.A2.209,4.0,Прочие анализы,,A09.05.121,
Альдостерон,1315.0,7.8.A1.209,4.0,Прочие анализы,,A09.05.069,
"Инсулиноподобный фактор роста, ИФР I (Соматомедин С)",1890.0,7.7.A4.201,1.0,Прочие анализы,,A09.05.204,
"Гистамин, ВЭЖХ-МС",3455.0,7.7.A9,6.0,Прочие анализы,,A09.05.085,
"Стероидный профиль крови (17-ОПГ, 21-дезоксикортизол, андростендион, ДГЭА, дезоксикортикостерон, кортизол, кортизон, кортикостерон, прогестерон, тестостерон, 11-дезоксикортизол, 17-ОН-прегненолон), ВЭЖХ-МС",10390.0,50.0.H126.201,5.0,Прочие анализы,,B03.016.005.002,
Лептин,1525.0,7.7.A5.201,8.0,Прочие анализы,,A09.05.159,
"Маркеры риска преэклампсии: sFlt-1, PlGF, соотношение sFlt-1/PlGF (одноплодная беременность)",7915.0,4.1.10.D1,4.0,Прочие анализы,,B03.001.002.003,
"Маркеры риска преэклампсии: sFlt-1, PlGF, соотношение sFlt-1/PlGF (многоплодная беременность)",7915.0,4.1.10.D2,4.0,Прочие анализы,,B03.001.002.002,
Эстриол свободный,925.0,7.3.A2.201,1.0,Прочие анализы,,A09.05.157,
Ассоциированный с беременностью протеин А (PAPP-A),1385.0,7.3.A1.201,1.0,Прочие анализы,,A09.05.161,
"Общий бета-ХГЧ (диагностика беременности, онкомаркер)",735.0,7.3.A7.201,1.0,Прочие анализы,,A09.05.090.001,
Свободная субъединица бета-ХГЧ (пренатальный скрининг),1655.0,7.3.A4.201,1.0,Прочие анализы,,A09.05.090,
Трофобластический бета-1-гликопротеин (ТБГ),755.0,7.3.A8.201,4.0,Биохимия крови,,A12.05.110.001,
Плацентарный фактор роста (PLGF),4920.0,7.3.A9.201,1.0,Прочие анализы,,B03.001.002.001,
Плацентарный лактоген,1325.0,7.3.A6.201,4.0,Прочие анализы,,A09.05.249,
Паратгормон,1230.0,7.5.A1.209,1.0,Прочие анализы,,A09.05.058,
Кальцитонин,1670.0,7.5.A2.209,1.0,Прочие анализы,,A09.05.119,
Остеокальцин,1365.0,7.5.A3.209,1.0,Прочие анализы,,A09.05.224,
С-концевые телопептиды коллагена I типа (Beta-Cross laps),1730.0,7.5.A4.201,5.0,Прочие анализы,,A09.05.297,
Маркер формирования костного матрикса P1NP (N-терминальный пропептид проколлагена 1 типа),2515.0,7.5.A5.201,5.0,Прочие анализы,,A09.05.296,
Антиген СА 125,1200.0,8.0.A4.201,1.0,Прочие анализы,,A09.05.202,
Хромогранин A CgA,4810.0,8.0.A19.201,8.0,Прочие анализы,,A09.05.227,
Альфа-фетопротеин (АФП),765.0,8.0.A1.201,2.0,Онкомаркеры,,A09.30.002.001,
Антиген CA 19-9,1215.0,8.0.A3.201,1.0,Прочие анализы,,A09.05.201,
Антиген СА 72-4,1760.0,8.0.A9.201,1.0,Прочие анализы,,A09.05.200,
Антиген СА 242,1280.0,8.0.A16.201,4.0,Прочие анализы,,A09.05.232,
Антиген CA 15-3,1215.0,8.0.A7.201,1.0,Прочие анализы,,A09.05.231,
Бета-2-микроглобулин,1730.0,8.0.A8.201,1.0,Прочие анализы,,A09.05.245,
Белок S-100,3510.0,8.0.A13.201,3.0,Прочие анализы,,A09.05.219,
Раково-эмбриональный антиген (РЭА),1215.0,8.0.A2.201,1.0,Прочие анализы,,A09.05.195,
Опухолевый маркер НЕ 4,1700.0,8.0.A17.201,1.0,Прочие анализы,,A09.05.300,
"Прогностическая вероятность (значение ROMA, пременопауза) (включает определение антигена СА 125 и опухолевого маркера HE 4)",2495.0,8.0.D6,1.0,Прочие анализы,,A09.05.202.002,
"Прогностическая вероятность (значение ROMA, постменопауза) (включает определение антигена СА 125 и опухолевого маркера HE 4)",2495.0,8.0.D4,1.0,Прочие анализы,,A09.05.202.001,
MCA (муциноподобный рако-ассоциированный антиген),2615.0,8.0.A23.201,15.0,Прочие анализы,,B03.027.007.009,
Простатоспецифический антиген (ПСА) общий,895.0,8.0.A21.201,1.0,Онкомаркеры,,A09.05.130,
"Процент свободного ПСА (общий ПСА, свободный ПСА и соотношение)",1610.0,8.0.D7,1.0,Онкомаркеры,,A09.05.130.004,
Индекс здоровья простаты (PHI),5690.0,8.0.D2.201,5.0,Прочие анализы,,A09.05.130.005,
Антиген плоскоклеточной карциномы (SCCA),3035.0,8.0.A10.201,1.0,Прочие анализы,,A09.05.298,
Фрагмент цитокератина 19 (Cyfra 21-1),1815.0,8.0.A12.201,4.0,Онкомаркеры,,A09.05.247,
Нейрон-специфическая енолаза (NSE),2325.0,8.0.A11.201,5.0,Онкомаркеры,,A09.05.246,
Прогастрин‑высвобождающий пептид (Pro‑GRP),4800.0,8.0.A25,9.0,Биохимия крови,,B03.027.008.002,
"Пренатальный скрининг I триместра беременности PRISCA (10-13 недель; заключение врача КЛД по исследовательскому отчету): ассоциированный с беременностью протеин A (PAPP-A), свободная субъединица бета-ХГЧ",2380.0,7.3.D1.201,1.0,Прочие анализы,,B03.032.002.002,
"Пренатальный скрининг II триместра беременности PRISCA (15-19 недель; заключение врача КЛД по исследовательскому отчету): альфа-фетопротеин (АФП), общий бета-ХГЧ, эстриол свободный",2655.0,7.3.D2.201,1.0,Онкомаркеры,,B03.032.002.001,
"Пренатальный скрининг I триместра беременности ASTRAIA (8 недель - 13 недель 6 дн.):
Ассоциированный с беременностью протеин А (PAPP-A), Свободная субъединица бета-ХГЧ",4280.0,26.3.D1,2.0,Прочие анализы,,B03.032.002.003,
"Пренатальный скрининг I триместра беременности ASTRAIA (8 недель - 13 недель 6 дн.) с расчетом риска задержки роста плода, риска преждевременных родов и преэклампсии",4480.0,26.3.D3,2.0,Прочие анализы,,A27.20.001.004,
"Пренатальный скрининг I триместра беременности ASTRAIA (8 недель - 13 недель 6 дн.) с расчетом риска задержки роста плода, риска преждевременных родов и преэклампсии (с учётом PLGF)",6385.0,26.3.D4,2.0,Прочие анализы,,A27.20.001.008,
"Биохимический скрининг I триместра беременности для программы ASTRAIA (без расчета рисков патологии плода) (8 недель - 13 недель 6 дн.): Ассоциированный с беременностью протеин А (PAPP-A), Свободная субъединица бета-ХГЧ",3770.0,26.3.D2,1.0,Биохимия крови,,B03.032.002.004,
Биохимическое исследование для НЭШ-Фибротест (включает графический файл),21155.0,50.0.H162,3.0,Биохимия крови,,B03.016.004.005,
Биохимическое исследование для ФиброТест (включает графический файл),19230.0,50.0.H161,3.0,Биохимия крови,,B03.016.004.006,
Биохимическое исследование для СтеатоСкрин (включает графический файл),9050.0,50.0.H159,3.0,Биохимия крови,,B03.016.004.007,
Специфический антиген рака мочевого пузыря (UBC) в разовой порции мочи,2530.0,8.0.A14.401,12.0,Прочие анализы,,A09.28.054.001,
Альфа-амилаза (диастаза) в разовой порции мочи,480.0,5.0.A1.401,1.0,Биохимия крови,,A09.28.027.001,
Глюкоза в разовой порции мочи,375.0,5.0.A7.401,1.0,Биохимия крови,,A09.28.011.001,
Альбумин-креатининовое соотношение в разовой порции мочи (микроальбуминурия),1015.0,5.0.D1.401,1.0,Биохимия крови,,A09.28.003.001.001,
Бета-2-микроглобулин в разовой порции мочи,1805.0,5.0.A14.401,2.0,Прочие анализы,,A09.28.003.004,
Дезоксипиридинолин (DPD) в разовой порции мочи,2470.0,5.0.A15.401,4.0,Прочие анализы,,A09.28.064,
"Литос-тест (Оценка степени камнеобразования, Глюкоза, Белок, pH)",3730.0,5.0.D5.401,7.0,Биохимия крови,,B03.053.001.003,
Литос комплексный (включая оценку степени камнеобразования),4335.0,5.0.D11.401,10.0,Прочие анализы,,B03.053.001.002,
"Органические кислоты (60 показателей) в разовой порции мочи, ГХ-МС",14685.0,5.1.A35,7.0,Прочие анализы,,B03.016.018.001.003,
"Органические кислоты  (40 показателей) - скрининг наследственных болезней обмена у новорожденных и детей до 3 лет в разовой порции мочи, ГХ-МС",10285.0,5.1.A37,7.0,Прочие анализы,,B03.016.018.002,
Аминокислоты (28 показателей) в разовой порции мочи,6770.0,5.1.A36,6.0,Прочие анализы,,B03.016.025.002,
Кальций-креатининовое соотношение в разовой порции мочи,440.0,5.1.D3,1.0,Биохимия крови,,B03.025.001.002,
Глюкоза суточной мочи,405.0,5.0.D12.402,1.0,Биохимия крови,,A09.28.011.002,
Общий белок суточной мочи,450.0,5.0.D13.402,1.0,Прочие анализы,,A09.28.003.002.001,
Микроальбумин суточной мочи,660.0,5.0.D14.402,1.0,Прочие анализы,,A09.28.003.001.004,
Креатинин суточной мочи,405.0,5.0.D1.402,1.0,Биохимия крови,,A09.28.006,
Мочевина суточной мочи,405.0,5.0.D15.402,1.0,Биохимия крови,,A09.28.009.001,
Мочевая кислота суточной мочи,440.0,5.0.D16.402,1.0,Прочие анализы,,A09.28.010,
Кальций общий суточной мочи,440.0,5.0.D17.403,1.0,Прочие анализы,,A09.28.012.001,
Оксалаты суточной мочи,1740.0,5.0.A20.403,8.0,Прочие анализы,,A09.28.018.002,
Фосфор неорганический суточной мочи,465.0,5.0.D18.403,1.0,Прочие анализы,,A09.28.026,
"Литогенные субстанции мочи, 8 аналитов - оценка риска камнеобразования (суточная моча)",3205.0,5.2.A1,10.0,Прочие анализы,,B03.053.001.004,
"Натрий, калий, хлор суточной мочи (Na/K/Cl)",440.0,5.0.D2.403,1.0,Прочие анализы,,A09.28.014.001,
Проба Реберга,480.0,5.0.D1.406,1.0,Прочие анализы,,A12.28.002.001,
Магний суточной мочи,410.0,5.0.D19.403,1.0,Прочие анализы,,A09.28.060.002,
Опухолевая пируваткиназа Тu M2 (в кале),2670.0,8.0.A18.101,8.0,Прочие анализы,,A09.19.014,
Исследование кала на трансферрин и гемоглобин,1130.0,8.0.D3.101,1.0,Прочие анализы,,A09.19.001.001.001,
Эозинофильный нейротоксин (EDN) в кале,3755.0,6.2.A16,11.0,Прочие анализы,,A26.05.016.004,
Альфа-1-антитрипсин в кале,1980.0,6.2.A17,10.0,Прочие анализы,,B03.019.012.001,
Активность химотрипсина в кале,2285.0,6.2.A20,11.0,Прочие анализы,,A26.05.016.007,
"Биохимическое исследование метаболической активности кишечной микрофлоры, ГХ",2830.0,6.2.D7.101,9.0,Биохимия крови,,B03.016.010.001,
Исследование кала на скрытую кровь,495.0,6.2.A5.101,1.0,Прочие анализы,,A09.19.001,
"Исследование кала на гемоглобин и гемоглобин/гаптоглобиновый комплекс, ColonView (иммунохимический тест на скрытую кровь)",1400.0,6.2.A24,1.0,Прочие анализы,,A09.19.001.003,
Содержание углеводов в кале (в т.ч. лактоза),985.0,6.2.A6.101,1.0,Прочие анализы,,A09.19.012,
Панкреатическая эластаза 1 в кале,3395.0,6.2.A7.101,5.0,Биохимия крови,,A09.19.010,
Кальпротектин (в кале),4000.0,6.2.A13.101,5.0,Прочие анализы,,A09.19.013,
Зонулин фекальный,9770.0,6.2.A15,11.0,Прочие анализы,,A26.05.016.003,
Желчные кислоты в кале,3905.0,6.2.A18,11.0,Прочие анализы,,A26.05.016.002,
Определение химического состава мочевого конкремента (ИК-спектрометрия),5750.0,5.0.D10.401,8.0,Прочие анализы,,A09.28.018.001,
Кортизол суточной мочи,1345.0,7.4.A3.403,1.0,Прочие анализы,,A09.28.035,
"Эпиандростерон в суточной моче, ГХ-МС",1220.0,7.4.A9,6.0,Прочие анализы,,A09.28.048.001,
"Эстрогены и их метаболиты (10 показателей) в суточной моче, ГХ/ВЭЖХ-МС",9575.0,7.2.A19,5.0,Прочие анализы,,A09.28.023.001,
"17-кетостероиды (андростерон, андростендион, ДГЭА, этиохоланолон, эпиандростерон, тестостерон, эпитестостерон, прегнантриол, соотношение андростерон/этиохоланолон, соотношение тестостерон/эпитестостерон) в суточной моче, ГХ-МС",3830.0,7.4.D9,5.0,Прочие анализы,,B03.016.022.001.001,
"Свободные метанефрины и норметанефрины в суточной моче, ВЭЖХ-МС",3430.0,5.0.D9.403,5.0,Прочие анализы,,A09.28.034.003,
"Катехоламины (адреналин, норадреналин, дофамин) в суточной моче, ВЭЖХ-МС",3215.0,7.4.D1.403,5.0,Прочие анализы,,A09.28.034.004,
